concept id	representation id	en	kanji	kana
FMA46120	BP8886	transverse head of adductor pollicis	母指内転筋の横頭	ぼしないてんきんのおうとう
FMA46121	BP5560	oblique head of right adductor pollicis	oblique head of right adductor pollicis	oblique head of right adductor pollicis
FMA46122	BP8248	oblique head of left adductor pollicis	oblique head of left adductor pollicis	oblique head of left adductor pollicis
FMA46123	BP5543	transverse head of right adductor pollicis	transverse head of right adductor pollicis	transverse head of right adductor pollicis
FMA46124	BP8885	transverse head of left adductor pollicis	transverse head of left adductor pollicis	transverse head of left adductor pollicis
FMA46279	BP5591	zone of longus colli	zone of longus colli	zone of longus colli
FMA46280	BP5594	superior oblique part of longus colli	superior oblique part of longus colli	superior oblique part of longus colli
FMA46281	BP7686	inferior oblique part of longus colli	inferior oblique part of longus colli	inferior oblique part of longus colli
FMA46282	BP5592	vertical intermediate part of longus colli	vertical intermediate part of longus colli	vertical intermediate part of longus colli
FMA46284	BP5595	superior oblique part of left longus colli	superior oblique part of left longus colli	superior oblique part of left longus colli
FMA46286	BP5593	vertical intermediate part of left longus colli	vertical intermediate part of left longus colli	vertical intermediate part of left longus colli
FMA46288	BP7685	inferior oblique part of left longus colli	inferior oblique part of left longus colli	inferior oblique part of left longus colli
FMA46290	BP4899	suprahyoid muscle	suprahyoid muscle	suprahyoid muscle
FMA46291	BP7580	digastric	顎二腹筋	がくにふくきん
FMA46292	BP7592	right digastric	right digastric	right digastric
FMA46293	BP7579	left digastric	left digastric	left digastric
FMA46308	BP4702	longus capitis	頭長筋	とうちょうきん
FMA46309	BP4703	right longus capitis	right longus capitis	right longus capitis
FMA46310	BP7581	left longus capitis	left longus capitis	left longus capitis
FMA46312	BP4707	rectus capitis anterior	前頭直筋	ぜんとうちょくきん
FMA46313	BP4708	right rectus capitis anterior	right rectus capitis anterior	right rectus capitis anterior
FMA46314	BP7586	left rectus capitis anterior	left rectus capitis anterior	left rectus capitis anterior
FMA46316	BP4705	rectus capitis lateralis	外側頭直筋	がいそくとうちょくきん
FMA46317	BP4706	right rectus capitis lateralis	right rectus capitis lateralis	right rectus capitis lateralis
FMA46318	BP7589	left rectus capitis lateralis	left rectus capitis lateralis	left rectus capitis lateralis
FMA46320	BP4903	mylohyoid	顎舌骨筋	がくぜつこつきん
FMA46321	BP4904	right mylohyoid	right mylohyoid	right mylohyoid
FMA46322	BP7582	left mylohyoid	left mylohyoid	left mylohyoid
FMA46325	BP4905	geniohyoid	オトガイ舌骨筋	おとがいぜつこつきん
FMA46326	BP4906	right geniohyoid	right geniohyoid	right geniohyoid
FMA46327	BP7578	left geniohyoid	left geniohyoid	left geniohyoid
FMA46442	BP9016	tendinous arch of levator ani	肛門挙筋腱弓	こうもんきょきんけんきゅう
FMA46443	BP8115	right coccygeus	right coccygeus	right coccygeus
FMA46444	BP9157	left coccygeus	left coccygeus	left coccygeus
FMA46490	BP7964	subdivision of mouth	口部	こうぶ
FMA46562	BP7804	muscle of larynx	muscle of larynx	muscle of larynx
FMA46576	BP7823	posterior crico-arytenoid	後輪状披裂筋	こうりんじょうひれつきん
FMA46577	BP8360	right posterior crico-arytenoid	right posterior crico-arytenoid	right posterior crico-arytenoid
FMA46578	BP7822	left posterior crico-arytenoid	left posterior crico-arytenoid	left posterior crico-arytenoid
FMA46579	BP8619	lateral crico-arytenoid	外側輪状披裂筋	がいそくりんじょうひれつきん
FMA46580	BP8618	right lateral crico-arytenoid	right lateral crico-arytenoid	right lateral crico-arytenoid
FMA46581	BP8828	left lateral crico-arytenoid	left lateral crico-arytenoid	left lateral crico-arytenoid
FMA46582	BP8905	transverse arytenoid	甲状披裂筋|横披裂筋	おうひれつきん
FMA46583	BP8894	oblique arytenoid	斜披裂筋	しゃひれつきん
FMA46584	BP9152	right oblique arytenoid	right oblique arytenoid	right oblique arytenoid
